ISO_code,Vaccine,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GAB,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.75,0.82,0.79,0.7,0.8
GMB,Hib3,,,,,,,,,,,,,,,,,,,,,0.74,0.96,0.8,0.8,0.9,0.95,0.95,0.9,0.92,0.94,0.95,0.96,0.98,0.98,0.96,0.97
GEO,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.94,0.92,0.96,0.91,0.87
DEU,Hib3,,,,,,,,,,,,0.6,0.65,0.65,0.65,0.7,0.7,0.8,0.74,0.8,0.82,0.85,0.88,0.9,0.92,0.92,0.94,0.94,0.94,0.94,0.94,0.93,0.94,0.94,0.94,0.94
GHA,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.99,0.8,0.8,0.84,0.84,0.94,0.93,0.94,0.94,0.91,0.92,0.9,0.98,0.89
GRC,Hib3,,,,,,,,,,,,,,,0.03,,,,,0.88,,,,,,,,0.83,0.83,0.83,,0.83,0.95,0.95,0.99,0.99
GRD,Hib3,,,,,,,,,,,,,,,,,,,,,0.33,0.96,0.98,0.97,0.83,0.99,0.91,0.99,0.99,0.99,0.97,0.95,0.97,0.99,0.97,0.92
GTM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.91,0.85,0.95,0.92,0.94,0.88,0.96,0.93,0.73,0.74
GIN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.9,0.85,0.99,0.9,0.6,0.6
GNB,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.86,0.89,0.9,0.96,0.83,0.9
GUY,Hib3,,,,,,,,,,,,,,,,,,,,,,0.85,0.91,0.91,0.91,0.93,0.93,0.94,0.93,0.98,0.95,0.93,0.97,0.98,0.98,0.95
HTI,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.6,0.72
HND,Hib3,,,,,,,,,,,,,,,,,,,,,0.94,0.96,0.95,0.92,0.94,0.98,0.95,0.94,0.93,0.98,0.99,0.99,0.88,0.87,0.85,0.99
HUN,Hib3,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ISL,Hib3,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,,,,,0.98,0.92,,0.97,0.99,0.95,0.97,0.97,0.98,0.96,,0.95,0.89,0.91,0.9,0.92
IND,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,0.45
IDN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.44,0.93
IRN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98
IRQ,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.78,0.74,0.68
IRL,Hib3,,,,,,,,,,,,,,,,,,0.76,0.84,0.86,0.85,0.84,0.83,0.86,0.89,0.9,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.95,0.96,0.95
ISR,Hib3,,,,,,,,,,,,,,,0.92,0.93,0.92,0.92,0.92,0.93,0.94,0.93,0.93,0.93,0.95,0.93,0.94,0.95,0.94,0.96,0.95,0.94,0.94,0.96,,
ITA,Hib3,,,,,,,,,,,,,,,,0.1,0.15,0.18,0.2,0.45,0.55,0.7,0.83,0.9,0.94,0.95,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.95,0.94,0.93
JAM,Hib3,,,,,,,,,,,,,,,,,,,,,,0.03,0.07,0.19,0.82,0.89,0.87,0.85,0.87,0.9,0.94,0.91,0.96,0.93,0.92,0.91
JPN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99
JOR,Hib3,,,,,,,,,,,,,,,,,,,,,,0.59,0.95,0.97,0.95,0.95,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99
KAZ,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.97,0.96,0.95,0.97,0.98,0.95,0.98
KEN,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.84,0.73,0.73,0.76,0.8,0.81,0.85,0.75,0.83,0.88,0.83,,0.81,0.78
KIR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.86,0.91,0.95,0.94,0.95,0.75,0.87
KWT,Hib3,,,,,,,,,,,,,,,,,,,0.94,0.94,0.98,,,,,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.95,0.99
KGZ,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.96,0.96,0.97,0.96,0.97
LAO,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.78,0.79,0.87,0.88,0.89
LVA,Hib3,,,,,,,,,,,,,,,0.1,0.09,0.07,0.36,0.47,0.76,0.79,0.84,0.87,0.96,0.99,0.99,0.96,0.94,0.94,0.94,0.9,0.91,0.9,0.94,0.92,0.94
LBN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.47,0.46,0.48,0.93,0.93,0.94,0.95,0.95,0.98,0.97,0.91
LSO,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.72,0.75,0.69,0.67,0.66,0.69,0.67
LBR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.93,0.75,0.77,0.93,0.89,0.63,0.65
LBY,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.98,,,0.98,,0.97,
LTU,Hib3,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.04,0.05,0.11,0.35,0.61,0.94,0.95,0.96,0.98,0.95,0.92,0.93,0.93,0.93,0.93
LUX,Hib3,,,,,,,,,,,,,,,,,,0.86,,,,,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
MDG,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.89,0.85,0.89,0.86,0.9,0.89,0.85
MWI,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.64,0.84,0.89,0.93,0.99,0.87,0.91,0.93,0.93,0.97,0.96,0.89,0.91,0.88
MYS,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.85,0.89,0.9,0.95,0.95,0.95,0.95,0.99,0.97,0.97,0.99
MDV,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99
MLI,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.99,0.94,0.99,0.89,0.92,0.88,0.9,0.76,0.81,0.9
MLT,Hib3,,,,,,,,,,,,,,,,,0.38,,0.89,,0.93,0.84,0.71,0.93,0.55,0.83,0.83,0.72,0.72,0.73,0.76,0.96,0.99,0.99,0.99,0.97
MHL,Hib3,,,,,,,,,,,,,,,,,,,,,0.45,0.45,0.8,0.7,0.46,0.69,0.6,0.83,,0.99,0.92,,0.67,0.21,0.65,0.7
MRT,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.64,0.75,0.8,0.8,0.84,0.73
MUS,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.96,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97
MEX,Hib3,,,,,,,,,,,,,,,,,,,,,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.96,0.95,0.95,0.97,0.99,0.83,0.87,0.87
FSM,Hib3,,,,,,,,,,,,,,,,,,,,0.4,0.75,,,,0.65,0.74,0.59,0.79,0.73,0.73,0.7,0.72,0.66,0.68,0.65,0.61
MCO,Hib3,,,,,,,,,,,,,,,,,,,,0.99,,,0.99,,,,,,,,,,,,,
MNG,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,0.96,0.97,0.96,0.99,0.99,0.98,0.99,0.99
MNE,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.89,0.93,0.87,0.9,0.9,0.94,0.94,0.91,0.89
MAR,Hib3,,,,,,,,,,,,,,,,,,,,0.01,,0.05,,0.04,0.1,0.1,0.1,0.9,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99
MOZ,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.76,0.76,0.78,0.88,0.8
MMR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.88,0.89
NAM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.82,0.84,0.89,0.88,0.92
NRU,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.79,,0.75,0.91
NPL,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.9,0.92,0.92,0.91
NLD,Hib3,,,,,,,,,,,,,,,,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96
NZL,Hib3,,,,,,,,,,,,,,,,,,0.86,0.81,0.88,0.9,0.9,,,,0.8,0.8,0.78,0.86,0.98,0.89,0.94,0.93,0.92,0.93,0.92
NIC,Hib3,,,,,,,,,,,,,,,,,,,,0.9,0.93,0.92,0.85,0.86,0.79,0.86,0.88,0.99,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99
NER,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.92,0.97,0.96,0.92,0.93,0.9
NGA,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.55,0.7,0.74
NIU,Hib3,,,,,,,,,,,,,,,,,,,,,0.99,,0.99,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,0.99
NOR,Hib3,,,,,,,,,,,,,,,,,0.97,,,,0.93,0.93,0.95,0.94,0.94,0.9,0.95,0.95,0.94,0.95,0.94,0.95,0.95,0.95,0.94,0.95
OMN,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.99,0.99,0.98,0.98,0.99,0.99
PAK,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.88,0.89,0.89,0.66,0.7,0.75
PLW,Hib3,,,,,,,,,,,,,,,,,,,0.74,0.96,0.96,,0.9,,0.98,0.98,0.98,0.95,0.92,0.48,0.66,0.85,0.89,0.99,0.99,0.89
PAN,Hib3,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.99,0.88,0.99,0.85,0.86,0.85,0.94,0.87,0.85,0.8,0.8,0.73
PNG,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.64,0.7,0.61,0.63,0.68,0.62,0.62
PRY,Hib3,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.88,0.87,0.85,0.78,0.76,0.72,0.76,0.76,0.74,0.73,0.74,0.8
PER,Hib3,,,,,,,,,,,,,,,,,,,0.17,,0.38,0.33,0.35,0.36,0.91,0.89,0.94,0.93,0.99,0.92,0.93,0.91,0.95,0.88,0.88,0.9
PHL,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.87,0.88,0.89,0.96,0.6
POL,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.31,0.88,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.98
PRT,Hib3,,,,,,,,,,,,,,,,,,,0.95,,0.86,,0.94,0.99,0.95,0.93,0.97,0.97,0.97,0.96,0.97,0.97,0.98,0.98,0.98,0.98
QAT,Hib3,,,,,,,,,,,,,,,,,,0.92,0.94,0.92,0.8,0.93,0.96,0.92,0.96,0.97,0.96,0.94,,0.99,0.97,0.93,0.92,0.99,0.89,0.99
KOR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98
MDA,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.63,0.78,0.9,0.89,0.89,0.87
ROU,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.92,,,0.89
RUS,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,
RWA,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.88,0.96,0.89,0.95,0.99,0.96,0.97,0.97,0.97,0.97,0.99,0.99,0.98,0.99
KNA,Hib3,,,,,,,,,,,,,,,,,,,,,0.12,0.99,0.95,0.99,0.95,0.99,0.99,0.99,0.97,0.99,0.96,0.98,0.99,0.97,0.98,0.94
LCA,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.14,0.84,0.91,0.95,0.85,0.99,0.96,0.95,0.97,0.99,0.98,0.99,0.99,0.99
VCT,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.97,0.99,0.98,0.99
WSM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.72,0.87,0.91,0.99,0.95,0.91,0.94
SMR,Hib3,,,,,,,,,,,,0.65,,,,,,,,0.95,0.92,,,0.96,0.98,0.94,0.95,0.92,0.87,0.92,0.78,0.85,0.96,0.69,0.79,
STP,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.96,0.96,0.97,0.95,0.96
SAU,Hib3,,,,,,,,,,,,,,,,,,,,,0.96,,0.95,0.95,0.96,0.96,0.96,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
SEN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.89,0.94,0.88,0.86,0.7,0.83,0.83,0.92,0.89,0.89
SRB,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.89,0.98,0.94,0.91,0.93,0.9,0.92,0.94,0.95
SYC,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.98,0.99,0.97
SLE,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.87,0.91,0.76,0.76,0.91,0.92,0.83,0.86
SGP,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.85,0.96
SVK,Hib3,,,,,,,,,,,,,,,,,0.03,0.3,0.36,,,0.7,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.96
SVN,Hib3,,,,,,,,,,,,,,,,,,,,,,0.93,0.93,0.95,0.94,0.95,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.95,0.95
SLB,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.81,0.79,0.88,0.9,0.83,0.77,0.87
SOM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.65,
ZAF,Hib3,,,,,,,,,,,,,,,,,,,,,0.88,0.78,0.76,0.94,0.89,0.97,0.99,0.97,0.98,0.99,0.91,0.87,0.83,0.91,0.95,0.93
SSD,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
ESP,Hib3,,,,,,,,,,,,,,,,,,,0.82,0.82,0.92,0.96,0.97,0.98,0.97,0.96,0.98,0.96,0.97,0.96,0.97,0.97,0.97,0.96,0.97,0.97
LKA,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,0.99
SDN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.91,0.95,0.93,0.92,0.93,0.94,0.93
SUR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.84,0.84,0.84,0.87,0.86,0.86,0.84,0.86,0.85,0.89
SWZ,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.89,0.91,0.95,0.98,0.98,0.9
SWE,Hib3,,,,,,,,,,,,0.55,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
CHE,Hib3,,,,,,,,,,,,,,,,,,,0.77,0.91,0.91,0.91,0.91,0.91,0.91,0.93,0.93,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.97
SYR,Hib3,,,,,,,,,,,,,,,,,,,,,,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.98,,0.99,0.91,0.64,0.6,0.62,0.6
TJK,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.93,0.93,0.96,0.94,0.96,0.97,0.96
MKD,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.82,0.89,0.96,0.95,0.97,0.94,0.89
TLS,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.77,0.9
TGO,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.89,0.92,0.92,0.84,0.84,0.87,0.88
TON,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.99,0.99
TTO,Hib3,,,,,,,,,,,,,,,,,,,0.08,0.49,0.74,0.85,0.59,0.92,0.94,0.95,0.89,0.88,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.9
TUN,Hib3,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.97,0.8,,,,,,0.43,0.97,0.98,0.98,0.98
TUR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.96,0.96,0.97,0.97,0.97,0.98,0.96,0.97
TKM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.71,0.97,0.97,0.97,0.99
TUV,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.89,0.96,0.97,0.9,0.89,0.96
UGA,Hib3,,,,,,,,,,,,,,,,,,,,,,,0.42,0.63,0.87,0.84,0.8,0.85,0.79,0.83,0.8,0.82,0.78,0.97,0.99,0.89
UKR,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.81,,0.51,0.26,0.83,,,0.38
ARE,Hib3,,,,,,,,,,,,,,,,,,,,0.94,0.92,0.92,0.94,0.94,0.94,0.94,0.92,0.92,0.92,,0.94,,0.99,0.99,0.99,0.99
GBR,Hib3,,,,,,,,,,,,,,0.89,0.93,,0.95,0.92,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.91,0.92,0.92,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.96
TZA,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.91,0.92,0.92,0.91,0.97,0.98
USA,Hib3,,,,,,,,,,,,,,,,0.91,0.91,0.93,0.93,0.94,0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.93,0.91,0.84,0.88,0.94,0.93,0.93,0.93,0.93
URY,Hib3,,,,,,,,,,,,,,,,,,0.84,0.75,0.93,0.88,0.9,0.95,0.91,0.94,0.96,0.95,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95
UZB,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,0.99,0.99,0.99,0.99
VUT,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.95,0.75,0.86,0.8
VEN,Hib3,,,,,,,,,,,,,,,,,,,,,0.02,0.34,0.59,0.54,0.6,0.87,0.71,0.62,0.51,0.84,0.78,0.78,0.81,0.82,0.78,0.87
VNM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.95,0.97,0.59,0.95,0.97
YEM,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.85,0.87,0.87,0.86,0.87,0.81,0.82,0.88,0.88,0.84
ZMB,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.91,0.97,0.92,0.95,0.98,0.84,0.81,0.78,0.79,0.86,0.9
ZWE,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.73,0.89,0.93,0.95,,0.91,0.96
KHM,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99
CHN,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,0.99
IND,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.37,0.63,0.65,0.69,,0.7
JPN,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.04,0.21,0.22,0.61,0.99,0.99,0.99,0.99
LAO,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
MYS,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.95,0.96,,0.97,0.98,0.9,0.93
MHL,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
NPL,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.47,0.54,0.62,0.72,0.78,0.77
KOR,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.84,0.84,0.89,0.89,0.98,0.99,0.99,0.99,0.97
LKA,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.97,0.64,0.95,0.95,0.99,0.99,0.99,0.99
THA,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.87,0.95,0.95,0.95,0.95,0.95,0.92,0.92,0.92
VNM,JapEnc,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.93,0.88,,0.93,,0.94,0.91,0.94,0.96
AFG,MCV1,0.11,0.06,0.08,,0.13,0.14,0.14,0.31,0.34,0.22,0.2,0.19,,0.25,0.4,,0.42,0.38,0.31,0.31,0.27,0.37,0.35,0.39,0.48,0.5,0.53,0.55,0.59,0.6,0.62,0.75,0.81,0.82,0.88,0.9
ALB,MCV1,,0.9,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,0.8,0.87,0.76,0.9,0.91,0.92,0.95,0.89,0.85,0.95,0.95,0.96,0.93,0.96,0.97,0.95,0.97,0.98,0.97,0.99,0.99,0.98,0.99,0.98,
DZA,MCV1,,0.17,,,,,,0.59,,0.73,0.53,0.74,0.68,0.69,0.69,0.77,0.75,0.74,0.75,0.83,0.8,0.83,0.81,0.84,0.81,0.83,0.91,0.92,0.88,0.92,0.95,0.95,0.95,0.95,0.95,0.95
AND,MCV1,,,,,,,,,,,,,,,,,,0.9,0.9,0.97,0.97,0.97,0.98,0.96,0.98,0.94,0.91,0.94,0.98,0.98,0.99,0.99,0.98,0.95,0.96,0.96
AGO,MCV1,,,,0.26,,0.83,0.6,0.55,0.56,0.43,0.38,0.39,0.21,0.47,0.44,0.65,0.41,0.78,0.8,0.46,,0.72,0.72,0.62,0.64,0.45,0.48,0.88,0.79,0.77,0.93,0.88,0.97,0.91,0.85,0.8
ATG,MCV1,,,,0.48,0.73,0.69,0.8,0.89,0.95,0.95,0.89,0.87,0.99,0.99,0.91,0.93,0.99,0.93,0.99,0.99,0.95,0.97,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99
ARG,MCV1,0.61,0.77,0.67,0.67,0.79,0.54,0.87,0.8,0.87,0.89,0.93,0.99,0.92,0.95,0.96,0.99,0.99,0.93,0.99,0.97,0.91,0.89,0.95,0.97,0.99,0.99,0.97,0.94,0.96,0.99,0.99,0.95,0.94,0.94,0.95,0.89
ARM,MCV1,,,,,,,,,,,0.95,0.93,0.93,0.95,0.95,0.96,0.89,0.92,0.94,0.92,0.92,0.96,0.6,0.94,0.92,0.94,0.92,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.97
AUS,MCV1,,,,0.68,,0.68,,0.68,,0.85,0.86,,,0.86,0.86,0.87,0.87,0.87,0.82,0.88,0.91,0.92,0.93,0.94,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.91
AUT,MCV1,,0.25,0.25,0.25,0.3,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.87,0.9,,0.65,0.75,0.79,0.78,0.79,0.74,0.75,0.8,0.79,0.83,0.76,,,,,0.96,
AZE,MCV1,,,,,,,,,,,0.82,0.94,0.83,0.8,0.91,0.95,0.96,0.97,0.98,0.99,0.98,0.99,0.97,0.98,0.98,0.98,0.96,0.97,0.97,0.98,0.98,0.98,0.97,0.98,0.98,0.98
BHS,MCV1,,,0.65,0.66,0.63,0.79,0.85,0.87,0.78,0.87,0.99,0.99,0.94,0.88,0.88,0.9,0.92,0.93,0.92,0.86,0.93,0.94,0.94,0.9,0.89,0.85,0.88,0.96,0.9,0.98,0.94,0.9,0.91,0.92,0.92,0.94
BHR,MCV1,0.63,0.43,0.37,0.59,0.65,0.54,0.6,0.73,0.78,0.85,0.87,0.88,0.87,0.9,0.93,0.95,0.95,0.94,0.99,0.94,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
BGD,MCV1,,,0.01,0.01,0.01,0.01,0.03,0.06,0.13,0.53,0.82,0.83,0.92,0.87,0.95,0.96,0.96,0.97,0.72,0.61,0.61,0.64,0.65,0.69,0.96,0.78,0.84,0.85,0.85,0.88,0.89,0.86,0.89,0.89,0.9,0.9
BRB,MCV1,0.41,,0.53,0.55,0.84,0.88,0.84,0.85,0.84,0.85,0.87,0.92,0.9,0.92,0.97,0.92,0.99,0.92,0.97,0.86,0.94,0.93,0.91,0.9,0.98,0.93,0.92,0.75,0.94,0.94,0.85,0.93,0.9,0.87,0.95,0.96
BLR,MCV1,,0.55,0.56,0.57,0.55,0.56,0.57,0.61,0.96,0.97,0.96,0.95,0.94,0.96,0.97,0.93,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99
BEL,MCV1,,0.5,,,,,0.9,0.5,0.75,0.75,0.85,0.67,0.87,0.7,0.78,0.85,0.73,0.76,0.8,0.82,0.82,0.82,0.82,0.82,0.82,0.88,0.92,0.92,0.93,0.95,0.95,0.95,0.96,0.96,0.96,0.96
BLZ,MCV1,0.21,0.4,0.51,0.43,0.43,0.49,0.85,0.53,0.59,0.71,0.86,0.76,0.69,0.8,0.82,0.83,0.81,0.85,0.84,0.82,0.96,0.94,0.88,0.96,0.97,0.95,0.99,0.96,0.96,0.97,0.98,0.98,0.96,0.99,0.95,0.96
BEN,MCV1,,,,,,0.23,0.2,0.26,0.3,0.48,0.73,0.6,0.72,0.69,0.78,0.82,0.74,0.82,0.82,0.92,0.85,0.81,0.88,0.83,0.85,0.85,0.89,0.93,0.89,0.95,0.92,0.95,0.72,0.87,0.87,0.78
BTN,MCV1,0.21,0.21,0.2,0.21,0.36,0.43,0.41,0.52,0.64,0.6,0.79,0.89,0.6,0.61,0.81,0.85,0.85,0.84,0.71,0.77,,0.78,0.78,0.88,0.87,0.93,0.9,0.95,0.99,0.98,0.95,0.95,0.95,0.94,0.97,0.97
