ISO_code,Vaccine,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FIN,BCG,,0.9,0.9,0.9,,,0.8,,0.99,0.91,0.91,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.97,0.99,,,,,,
FRA,BCG,,0.8,,0.81,0.96,0.82,0.84,0.76,0.79,0.77,0.74,0.78,0.77,0.79,0.81,0.83,0.82,0.82,0.81,0.83,0.83,0.84,0.85,0.84,0.85,0.81,0.83,0.78,0.44,,,,,,,
GAB,BCG,,,,,,0.5,0.8,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.75,0.61,0.9,0.72,0.49,0.6,0.48,0.39,0.55,0.51,0.45,0.53,0.56,0.67,0.75,0.71,0.68,0.76,0.79,0.74,0.73,0.8
GMB,BCG,0.85,0.96,0.91,0.96,0.98,0.92,0.96,0.97,0.96,0.98,0.98,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.96,0.97,0.84,0.98,0.98,0.99,0.99,0.99,0.85,0.88,0.92,0.96,0.9,0.98,0.96,0.96,0.98
GEO,BCG,,0.9,0.93,0.95,0.94,0.95,0.94,0.95,0.93,,0.95,0.91,0.67,0.3,0.3,0.32,0.7,0.76,0.94,0.95,0.95,0.97,0.8,0.87,0.91,0.95,0.95,0.96,0.95,0.95,0.96,0.96,0.95,0.95,0.96,0.96
GHA,BCG,0.09,0.67,0.51,0.31,,,0.35,0.35,0.37,0.7,0.71,0.56,0.61,0.68,0.61,0.67,0.65,0.72,0.77,0.88,0.95,0.91,0.99,0.92,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.99,0.97
GRC,BCG,,0.95,,0.56,,,,,,,,0.9,0.76,0.65,0.5,0.5,0.7,0.7,,0.88,0.88,,,,,,,0.91,0.91,0.91,,0.91,0.35,0.35,,
GTM,BCG,0.36,0.29,0.28,0.24,0.33,0.3,0.09,0.34,0.41,0.22,0.62,0.43,0.57,0.69,0.78,0.79,0.77,0.88,0.89,0.93,0.95,0.93,0.96,0.97,0.98,0.96,0.96,0.88,0.99,0.93,0.99,0.91,0.94,0.97,0.91,0.89
GIN,BCG,,,,,,,0.05,,,0.31,0.5,0.57,0.6,,0.78,0.78,0.59,0.69,0.69,0.72,0.71,0.71,0.71,0.79,0.71,0.9,0.9,0.91,0.92,0.93,0.93,0.93,0.84,0.95,0.82,0.75
GNB,BCG,,,,,0.42,0.33,0.88,0.97,0.89,0.95,0.9,0.94,0.99,0.99,0.95,0.92,0.68,0.82,,0.25,,0.7,0.7,0.84,0.8,0.8,0.87,0.93,0.89,0.83,0.93,0.99,0.95,0.95,0.94,0.97
